titulo;tipo_paper;doi
;Journalarticle;10.1136/bmjopen-2018-026354
;Journalarticle;10.1177/0022002717753919
;Journalarticle;10.1061/(ASCE)NH.1527-6996.0000323
;Journalarticle;10.3724/SP.J.1249.2019.01101
;Journalarticle;
;Journalarticle;10.1080/18692729.2018.1556495
;Journalarticle;
;Journalarticle;
;Journalarticle;
;Journalarticle;10.1193/052818EQS126O
;Journalarticle;10.21660/2019.56.4601
;Journalarticle;
;Journalarticle;10.1177/0739456X19864145
;Journalarticle;10.1201/9781351227544-74
;Journalarticle;
;Journalarticle;
;Journalarticle;10.1016/j.habitatint.2018.12.002
;Journalarticle;10.20965/jdr.2018.p1247
;Journalarticle;
;Journalarticle;10.1007/s10901-018-9602-9
;Journalarticle;10.1007/s11138-017-0401-4
;Journalarticle;10.1108/IJDRBE-08-2017-0050
;Journalarticle;10.3390/su10114115
;Journalarticle;10.3390/su10103732
;Journalarticle;10.1080/14036096.2017.1308434
;Journalarticle;10.1017/dmp.2017.130
;Journalarticle;10.1007/s11069-018-3367-z
;Conferencepaper;10.1007/s11069-018-3371-3
;Journalarticle;10.1007/s11069-018-3345-5
;Journalarticle;10.1007/s11069-018-3335-7
;Journalarticle;10.1016/j.ijdrr.2017.09.005
;Journalarticle;10.1108/DPM-11-2017-0285
;Journalarticle;10.1080/09614524.2018.1469601
;Journalarticle;
;Journalarticle;10.1111/disa.12261
;Journalarticle;10.1111/disa.12260
;Journalarticle;10.1108/IJDRBE-01-2017-0009
;Journalarticle;10.1088/1755-1315/153/6/062055
;Journalarticle;10.1002/rhc3.12133
;Journalarticle;10.1111/risa.12948
;Conferencepaper;10.1016/j.ijdrr.2018.03.019
;Journalarticle;10.1016/j.ijdrr.2018.02.035
;Journalarticle;
;Journalarticle;
;Journalarticle;10.1061/(ASCE)NH.1527-6996.0000287
;Journalarticle;10.1061/(ASCE)NH.1527-6996.0000283
;Journalarticle;10.1063/1.5029734
;Conferencepaper;10.1080/14649357.2018.1458965
;Journalarticle;10.1007/s11069-017-3139-1
;Journalarticle;10.20965/jdr.2018.p0168
;Journalarticle;10.1061/(ASCE)NH.1527-6996.0000269
;Journalarticle;10.1088/1755-1315/99/1/012006
;Journalarticle;10.1080/14672715.2017.1401935
;Journalarticle;
;Booksection;
;Journalarticle;
;Journalarticle;
